Name,Address,Rating,Reviews,Place_ID,Types,Website,Est_Stores,Outreach_Status,Notes
H&M,"Av. Cuauhtémoc 462, Piedad Narvarte, Benito Juárez, 03020 Ciudad de México, CDMX, Mexico",4.4,5840,ChIJ-8Axv9__0YURBhWcykrjdPY,"clothing_store,point_of_interest,store",,,New,
Cuidado con el Perro,"Av. Cuauhtémoc 462-Local 170, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX, Mexico",4.3,3029,ChIJo5ntFxr_0YURmB4o9FVILhA,"clothing_store,point_of_interest,store",,,New,
GAP,"Av. Cuauhtémoc 462, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX, Mexico",4.4,1908,ChIJVepxIRr_0YUR7OEXqL0ltvo,"womens_clothing_store,child_care_agency,shoe_store",,,New,
Roma Vintage,"Guanajuato 31, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",4.8,405,ChIJpU2Ag-r_0YURNYeQJi5ihOE,"clothing_store,point_of_interest,store",,,New,
Lova Men Tlalpan,"Calz. de Tlalpan 1134, Zacahuitzco, Benito Juárez, 03550 Ciudad de México, CDMX, Mexico",4.2,374,ChIJjVKqK1L-0YURgQhx4XK3ocY,"clothing_store,point_of_interest,store",,,New,
Julio,"Avenida Cuauhtémoc 462, Loc 12 PB, Av. Cuauhtémoc 462-12, Piedad Narvarte, Benito Juárez, 03000 Ciudad de México, CDMX, Mexico",4.3,372,ChIJi7xYeBn_0YURkyBDsK4a_yI,"womens_clothing_store,clothing_store,point_of_interest",,,New,
Santory,"Av. Revolución 1767, San Ángel, Álvaro Obregón, 01000 Ciudad de México, CDMX, Mexico",4.1,371,ChIJU7xYcAIA0oURoALkETvyNJc,"clothing_store,store,point_of_interest",,,New,
Loose Blues,"C. Dinamarca 44, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico",4.5,302,ChIJqb9IODL_0YURREmCFUyCgFc,"cocktail_bar,japanese_restaurant,clothing_store",,,New,
Casa Madrina CDMX,"Avenida Prado Norte 460, Lomas - Virreyes, Lomas de Chapultepec, Miguel Hidalgo, 11000 Ciudad de México, CDMX, Mexico",4.7,287,ChIJzffZzmYB0oUR4fsG6oB4ugM,"clothing_store,store,point_of_interest",,,New,
Milano San Ángel,"REY CUAUHTEMOC. 3 LOCS. C, D, YE, San Ángel, Álvaro Obregón, 01000 Ciudad de México, CDMX, Mexico",4.2,284,ChIJjbe7pTEA0oURVeH8U6E50L0,"clothing_store,store,point_of_interest",,,New,
Cangoo Fashion,"Leona Vicario 17-LOCAL A, entre CALLE SAN ANTONIO TOMATLAN Y MIXCALCO, Centro, Cuauhtémoc, 06020 CDMX, Mexico",4.6,275,ChIJEaRS7-H50YURjdVdK0RcmJ8,"clothing_store,womens_clothing_store,point_of_interest",,,New,
Wildress Roma,"Durango 216, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",4.5,254,ChIJ12Ee-Uf_0YURwJAidok3enw,"clothing_store,store,point_of_interest",,,New,
Óptima San Ángel,"Av. Revolución 1767-B, San Ángel, Álvaro Obregón, 01000 Ciudad de México, CDMX, Mexico",4.1,252,ChIJZbsFcwIA0oURSKH95u4lgjo,"womens_clothing_store,clothing_store,store",,,New,
Tóxic Store Parque Delta,"Av. Cuauhtémoc 462-local 293, Piedad Narvarte, Benito Juárez, 03020 Ciudad de México, CDMX, Mexico",4.4,238,ChIJNSzXgBn_0YURNWTxPcoBPic,"clothing_store,point_of_interest,store",,,New,
Vintage Hoe,"Jalapa 27, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",4.1,231,ChIJ4RrSzDD_0YUR5FUugCHRKBI,"clothing_store,store,point_of_interest",,,New,
HAPPENING Roma Norte,"Tabasco 210, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",4.5,226,ChIJ7ZQPizn_0YUR8x6SdQTI4QI,"clothing_store,store,point_of_interest",,,New,
¡Ay Güey! Parque Delta,"Cuauhtémoc, Viad. Pdte. Miguel Alemán Valdés 190-No. 462, Piedad Narvarte, Benito Juárez, 03020 Ciudad de México, CDMX, Mexico",4.3,225,ChIJuxcsghn_0YURxQYE5Am_THI,"clothing_store,point_of_interest,store",,,New,
UNIFORMS AND ARTIFICIAL Americanas S.A. DE C.V.,"B y C, Av. San Fernando 430, Tlalpan Centro I, Tlalpan, 14000 Ciudad de México, CDMX, Mexico",3.9,215,ChIJLYy3nGMAzoURyiTGneFLL_k,"clothing_store,point_of_interest,store",,,New,
Ivonne,"Av. Cuauhtémoc 462, Piedad Narvarte, Benito Juárez, 03020 Ciudad de México, CDMX, Mexico",4.2,211,ChIJ6z31gRn_0YURz6MzLyG0dj0,"clothing_store,womens_clothing_store,point_of_interest",,,New,
Lila Alta Costura,"Av. Pdte. Masaryk 321, Polanco, Polanco IV Secc, Miguel Hidalgo, 11550 Ciudad de México, CDMX, Mexico",4,183,ChIJS_fY7AEC0oUR1zxi_gMXdhk,"womens_clothing_store,point_of_interest,clothing_store",,,New,
Mosko Underwear Zona Rosa,"Londres 161-Loc.35, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico",4.5,182,ChIJm4Ghbzb_0YURQWb8J8kfMp4,"clothing_store,store,point_of_interest",,,New,
Vog meshes La Casa Del Pants,"C. Manuel Doblado 55, Centro, Cuauhtémoc, 06020 Ciudad de México, CDMX, Mexico",4.3,180,ChIJ19j-uDX50YURgs_zQGCoJc4,"womens_clothing_store,clothing_store,wholesaler",,,New,
Pineda Covalin SAN JACINTO,"Pl. San Jacinto, San Ángel TNT, San Ángel, Álvaro Obregón, 01000 Ciudad de México, CDMX, Mexico",4.2,159,ChIJy79uTAIA0oURJa41As-MbRY,"clothing_store,store,point_of_interest",,,New,
Novalíc Boutique,"Monterrey 151, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",4.4,154,ChIJ-zXwBYT_0YUR7cPk_2th9GU,"womens_clothing_store,clothing_store,store",,,New,
VTC,"Alejandro Dumas 135, Polanco, Polanco IV, Miguel Hidalgo, 11550 Ciudad de México, CDMX, Mexico",4.8,145,ChIJOX52WqsD0oURQ4k2uF7S5Wc,"clothing_store,point_of_interest,store",,,New,
IKAL MEN,"Havre 64, Juárez, Cuauhtémoc, 06600 Colonia Juárez, CDMX, Mexico",4.2,135,ChIJkVvkZjH_0YURv4HtMzrnw6A,"clothing_store,jewelry_store,wholesaler",,,New,
Primores,"Av. Francisco Sosa 131, Del Carmen, Coyoacán, 04000 Ciudad de México, CDMX, Mexico",3.9,132,ChIJ22VqCej_0YUR1nuE1jXoF1E,"clothing_store,store,point_of_interest",,,New,
BY UNDERWEAR,"C. Amberes 40-Local 1, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico",4.5,125,ChIJ__a9fjb_0YUR4Vy96dsor9s,"clothing_store,store,point_of_interest",,,New,
180º Shop,"Colima 180, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",4.5,123,ChIJL0facjr_0YURDMdzOlsc3Fg,"clothing_store,store,point_of_interest",,,New,
ERRE VINTAGE,"Colima 100, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",4.5,118,ChIJM1rklJ__0YURqZflNkEH1eE,"clothing_store,home_goods_store,store",,,New,
Amor & Rosas Store,"Valladolid 55-B, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",4.8,117,ChIJUyujEQn_0YUR9dT9N5tqSUI,"clothing_store,store,point_of_interest",,,New,
Masaryk,"Av. Horacio 1220, Polanco, Polanco III Secc, Miguel Hidalgo, 11550 Ciudad de México, CDMX, Mexico",4.7,117,ChIJkRUeyxwC0oURccT-4oJ1wt0,"clothing_store,point_of_interest,store",,,New,
Vintrend Shop,"C. Venecia 19, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico",4.6,114,ChIJNQmm2zn_0YUR4R6DSgHOp-Y,"womens_clothing_store,clothing_store,store",,,New,
SOHO,"Av. P.º de la Reforma 222-Local 110 C, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico",4,114,ChIJ5zBCfzP_0YURMG2-opf6mRk,"clothing_store,store,point_of_interest",,,New,
Casa Salt Condesa,"Juan de la Barrera S-N, Colonia Condesa, Cuauhtémoc, 06140 Ciudad de México, CDMX, Mexico",4.3,113,ChIJkx6MksP_0YURMjQrk4TTlZI,"clothing_store,store,point_of_interest",,,New,
Ragazza Fashion,"Durango 153, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",4.9,113,ChIJOYze4sv_0YUR9kPn5TwIhyc,"clothing_store,store,point_of_interest",,,New,
VOID,"Calle Parral 5, Colonia Condesa, Cuauhtémoc, 06140 Ciudad de México, CDMX, Mexico",3.6,112,ChIJqxsa9kT_0YURC-1Q_Hb305k,"clothing_store,store,point_of_interest",,,New,
Happy Baby Heroes de Padierna,"Calle Tekal 176, Territorio Torres, Héroes de Padierna, Tlalpan, 14200 Ciudad de México, CDMX, Mexico",4.9,104,ChIJkd6MUST_zYURU79Aqz9AXD4,"clothing_store,point_of_interest,store",,,New,
Yodaz Guayaberas,"Malintzin 165, Del Carmen, Coyoacán, 04100 Ciudad de México, CDMX, Mexico",4.7,102,ChIJ9bvPdsP_0YURpWOz8qSneIQ,"clothing_store,womens_clothing_store,store",,,New,
IKAL Store,"Av. Pdte. Masaryk 340A, Polanco, Polanco IV Secc, Miguel Hidalgo, 11550 Ciudad de México, CDMX, Mexico",4.4,101,ChIJ86WH9QEC0oUR4Svj8YjJSp8,"clothing_store,shoe_store,jewelry_store",,,New,
Bazar Algo Diferente,"Calz. de Tlalpan 4814, Niño Jesús, Tlalpan, 14080 Ciudad de México, CDMX, Mexico",3.9,101,ChIJydBHdeIBzoURbEUWgY0Tf2U,"clothing_store,point_of_interest,store",,,New,
Roca Boutique San Jerónimo,"Av. San Jerónimo 819, San Jerónimo Lídice, La Magdalena Contreras, 10200 Ciudad de México, CDMX, Mexico",4.9,99,ChIJ1xWwZeP_zYURNba19_iUJNc,"clothing_store,point_of_interest,store",,,New,
Camasha Guayaberas Altavista,"Plaza Pebellón Altavista, Desierto de los Leones 52, San Ángel, Álvaro Obregón, 01000 Ciudad de México, CDMX, Mexico",4.4,97,ChIJLV7Z5Pf_0YURWw1Z087uGkI,"clothing_store,store,point_of_interest",,,New,
Proyecto Rufina Condesa,"Ámsterdam 133, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",4.3,96,ChIJl6jsqvz_0YURGvp_3-kWiKg,"clothing_store,furniture_store,home_improvement_store",,,New,
mercado coyoacan boutique betys,"C. Xicoténcatl 313-333, Del Carmen, Coyoacán, 04100 Ciudad de México, CDMX, Mexico",4.4,92,ChIJA4k9luP_0YURBBJt6z5KzZ4,"clothing_store,store,point_of_interest",,,New,
Casa del Lino,"Plaza Loreto, Ignacio Manuel Altamirano 46 local 135 y 137, La Otra Banda, San Ángel, Álvaro Obregón, 01090 Ciudad de México, CDMX, Mexico",4.4,90,ChIJ85fq_gAA0oURrXm8aG33tWE,"clothing_store,store,point_of_interest",,,New,
ADIKK LA JOYA,"Calz. de Tlalpan 5063, La Joya, Tlalpan, 14090 Ciudad de México, CDMX, Mexico",4.6,90,ChIJZ_qUzo4BzoURiSd3YgY8WDE,"shoe_store,clothing_store,point_of_interest",,,New,
Piyamedic Tlalpan,"Fray Pedro de Gante s/n, Belisario Domínguez, Tlalpan, 14080 Ciudad de México, CDMX, Mexico",4.2,86,ChIJ5eeJLFgAzoURJsk7I4j3if4,"clothing_store,point_of_interest,store",,,New,
Zuppo Store Zona Rosa,"Florencia 20-Planta Baja, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico",4.4,80,ChIJNWHWCzb_0YURo6QwWaHIqmw,"clothing_store,store,point_of_interest",,,New,
Jardín de Hallazgos,"C. Querétaro 22, Col, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",4.8,78,ChIJtbsFkyT_0YURHfaTKZiJbZw,"clothing_store,home_goods_store,store",,,New,
EXIST by Amor & Rosas,"Ámsterdam 252, Colonia Condesa, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",5,73,ChIJi26c1j7_0YURobc_ilReRHI,"clothing_store,store,point_of_interest",,,New,
MIANOVIAS CDMX,"Arteaga 35, Col. San Ángel, Álvaro Obregón, 01000 Ciudad de México, CDMX, Mexico",5,69,ChIJZ5DPJpz_zYURc48A2YaeXsc,"clothing_store,store,point_of_interest",,,New,
Pineda Covalin POLANCO,"Campos Elíseos 215 A, Polanco, Polanco IV Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX, Mexico",4.7,66,ChIJ84JiBf8B0oURUmOdmpOws5s,"point_of_interest,clothing_store,store",,,New,
