Name,Address,Rating,Review Count,Types
Bershka,"Calle de Motolinia 35, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.2,5083,"clothing_store,womens_clothing_store,shoe_store,store"
C&A,"C. de Venustiano Carranza 79, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.3,2856,"clothing_store,womens_clothing_store,shoe_store,store"
Pull & Bear,"AVENIDA FRANCISCO I COL, Av Francisco I. Madero 42, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.2,5856,"clothing_store,womens_clothing_store,store"
Urban Store Centro Histórico CDMX,"Isabel La Católica 38, Colonia Centro, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.3,532,clothing_store
ZARA,"Isabel La Católica 24, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.2,5090,clothing_store
Cangoo Fashion,"Leona Vicario 17-LOCAL A, entre CALLE SAN ANTONIO TOMATLAN Y MIXCALCO, Centro, Cuauhtémoc, 06020 CDMX, Mexico",4.6,275,"clothing_store,womens_clothing_store,store"
Promoda Outlet,"C. de la Palma 34, Centro Histórico de la Cdad. de México, Área 1, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.2,2005,clothing_store
El Punto Streetwear Shop,"Isabel La Católica 14, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.7,67,clothing_store
El Palacio de Hierro Centro,"20 de Noviembre 3, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.5,21504,"department_store,clothing_store,store"
Stradivarius,"Av Francisco I. Madero 53, Centro Histórico de la Cdad. de México, Cuauhtémoc, 07220 Ciudad de México, CDMX, Mexico",4.3,1228,womens_clothing_store
Shasa - Madero,"Local: Número 1 Plaza Madero Avenida Francisco I. Madero 20 cuahutemoc, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.2,1245,clothing_store
Cuidado Con el Perro Madero CDMX,"Av Francisco I. Madero 39-Local 1-A, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.4,7745,clothing_store
Boutique Passion,"José María Pino Suárez 47, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06090 Centro, CDMX, Mexico",4.7,9,clothing_store
Boutique fashion Underground,"Av. Insurgentes Sur 300-local 13, Centro Urbano Pdte. Juárez, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",4.9,33,clothing_store
La Santa Boutique cdmx,"Donceles 88, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06020 Ciudad de México, CDMX, Mexico",4.5,2,clothing_store
Horror Boutique,"Rep. Guatemala 2 esq. Brasil (Arriba Trajes el Barón) 4to piso interior 403, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.6,164,clothing_store
Boutique Elegance,"16 de Septiembre 66, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ejido del Centro, CDMX, Mexico",4.8,5,womens_clothing_store
Boutique Obsesión,"20 de Noviembre 65, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06080 Ciudad de México, CDMX, Mexico",3.4,38,clothing_store
Roca Boutique Masaryk,"Av. Pdte. Masaryk 393, Polanco, Polanco III, Miguel Hidalgo, 11540 Ciudad de México, CDMX, Mexico",4.7,51,clothing_store
Gemma Boutique,"República de Venezuela 77, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06020 Ciudad de México, CDMX, Mexico",2.8,32,womens_clothing_store
Tiffany Boutique,"20 de Noviembre 141-LOCAL 9, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06090 Ciudad de México, CDMX, Mexico",4.8,31,womens_clothing_store
Regina Boutique,"20 de Noviembre 113, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06090 Ciudad de México, CDMX, Mexico",4.0,109,clothing_store
Betsua Boutique,"Square Dress, 20 de Noviembre 141-Loc.5, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06090 Ciudad de México, CDMX, Mexico",4.1,13,womens_clothing_store
Cadi Boutique,"Leona Vicario 63A-Local B, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06020 Ciudad de México, CDMX, Mexico",4.5,19,womens_clothing_store
Moda y estilo,"Moneda 10, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, Mexico",4.2,9,jewelry_store
Todomoda,"Av. Juarez 32-Local 1, Colonia Centro, Centro, Cuauhtémoc, 06080 Cuauhtémoc, CDMX, Mexico",4.1,48,store
Trendy,"Av Francisco I. Madero 60, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Centro, CDMX, Mexico",3.2,98,store
Bolsas AH moda y accesorios,"Moneda 19-4to piso local 420B, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06020 Ciudad de México, CDMX, Mexico",4.2,166,store
TYH ACCESORIOS,"Calle del Correo Mayor 46, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.4,11,jewelry_store
Mundo Moda,"Cto Interior Avenida Río Churubusco 583, Sector Popular, Popular, Iztapalapa, 09060 Ciudad de México, CDMX, Mexico",3.8,90,store
Colore,"C. de Venustiano Carranza 47, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.4,135,"shopping_mall,jewelry_store,wholesaler"
Accesorios Mitzy,"Guatemala 69-local 26, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, Mexico",5.0,2,store
Lupita Jewelry,"República de Argentina 22, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",3.9,92,store
